FIPS,admin2,province,region,last_update,lat,long,confirmed,deaths,recovered,active,combined_key,incident_rate,case_fatality_ratio
,,Arauca,Colombia,2021-02-08 05:22:39,7.0762,-70.7105,5448,158,5093,197,Arauca, Colombia,2078.009261025121,2.9001468428781205
,,Atlantico,Colombia,2021-02-08 05:22:39,10.6966,-74.8741,118104,3890,111565,2649,Atlantico, Colombia,4657.98493956065,3.293707241075662
,,Bolivar,Colombia,2021-02-08 05:22:39,8.6704,-74.03,64971,1306,62596,1069,Bolivar, Colombia,3138.528870446498,2.010127595388712
,,Boyaca,Colombia,2021-02-08 05:22:39,5.4545,-73.362,43557,954,40646,1957,Boyaca, Colombia,3577.941408406277,2.190233487154763
,,Caldas,Colombia,2021-02-08 05:22:39,5.2983,-75.2479,45207,912,42487,1808,Caldas, Colombia,4528.6024112075565,2.017386687902316
,,Capital District,Colombia,2021-02-08 05:22:39,4.711,-74.0721,631570,13078,592210,26282,Capital District, Colombia,8520.261404755114,2.0707126684294694
,,Caqueta,Colombia,2021-02-08 05:22:39,0.8699,-73.8419,16759,603,15608,548,Caqueta, Colombia,4174.211497699814,3.59806671042425
,,Casanare,Colombia,2021-02-08 05:22:39,5.7589,-71.5724,11794,239,11007,548,Casanare, Colombia,2804.729562620094,2.0264541292182465
,,Cauca,Colombia,2021-02-08 05:22:39,2.705,-76.82600000000002,26407,689,24599,1119,Cauca, Colombia,1803.1557786748679,2.6091566630060212
,,Cesar,Colombia,2021-02-08 05:22:39,9.3373,-73.6536,39182,1115,36844,1223,Cesar, Colombia,3263.6055753331325,2.8456944515338676
,,Choco,Colombia,2021-02-08 05:22:39,5.2528,-76.82600000000002,6417,192,6076,149,Choco, Colombia,1199.829477250545,2.992052360916316
,,Cordoba,Colombia,2021-02-08 05:22:39,8.0493,-75.574,34368,1752,31497,1119,Cordoba, Colombia,1925.612245298168,5.097765363128492
,,Cundinamarca,Colombia,2021-02-08 05:22:39,5.026,-74.03,99543,2626,93509,3408,Cundinamarca, Colombia,3410.104622721013,2.6380559155339904
,,Guainia,Colombia,2021-02-08 05:22:39,2.5854,-68.5247,1289,22,1256,11,Guainia, Colombia,2679.053913621815,1.7067494181536074
,,Guaviare,Colombia,2021-02-08 05:22:39,1.0654,-73.2603,2181,39,2118,24,Guaviare, Colombia,2635.1081952952263,1.7881705639614855
,,Huila,Colombia,2021-02-08 05:22:39,2.5359,-75.5277,47774,1575,45068,1131,Huila, Colombia,4341.567413616676,3.296772302926278
,,La Guajira,Colombia,2021-02-08 05:22:39,11.3548,-72.5205,15872,608,14935,329,La Guajira, Colombia,1802.489324975016,3.8306451612903225
,,Magdalena,Colombia,2021-02-08 05:22:39,10.4113,-74.4057,30817,1198,28778,841,Magdalena, Colombia,2296.783444854689,3.8874647110361162
,,Meta,Colombia,2021-02-08 05:22:39,3.272,-73.0877,41289,925,39554,810,Meta, Colombia,3971.157674840005,2.2403061348058806
,,Narino,Colombia,2021-02-08 05:22:39,1.2892,-77.3579,47293,1462,44081,1750,Narino, Colombia,2900.3576615118927,3.091366587021335
,,Norte de Santander,Colombia,2021-02-08 05:22:39,7.9463,-72.8988,49442,2598,45589,1255,Norte de Santander, Colombia,3314.4978611493416,5.25464180251608
,,Putumayo,Colombia,2021-02-08 05:22:39,0.436,-75.5277,7592,295,6933,364,Putumayo, Colombia,2180.468835264316,3.885669125395153
,,Quindio,Colombia,2021-02-08 05:22:39,4.461,-75.6674,30688,880,28943,865,Quindio, Colombia,5683.973447131341,2.867570385818561
,,Risaralda,Colombia,2021-02-08 05:22:39,5.3158,-75.9928,44969,1056,42645,1268,Risaralda, Colombia,4766.689880549205,2.348284373679646
,,San Andres y Providencia,Colombia,2021-02-08 05:22:39,12.5567,-81.7185,2651,43,2577,31,San Andres y Providencia, Colombia,4326.044386422977,1.6220294228592984
,,Santander,Colombia,2021-02-08 05:22:39,6.6437,-73.6536,85939,3053,79609,3277,Santander, Colombia,3933.428443403329,3.5525198105633065
,,Sucre,Colombia,2021-02-08 05:22:39,8.814,-74.7233,19697,728,18485,484,Sucre, Colombia,2176.793614060913,3.695994313854902
,,Tolima,Colombia,2021-02-08 05:22:39,4.0925,-75.1545,63623,1967,59771,1885,Tolima, Colombia,4783.011711887126,3.0916492463417318
,,Valle del Cauca,Colombia,2021-02-08 05:22:39,3.8009,-76.6413,184578,5719,170822,8037,Valle del Cauca, Colombia,4123.831572117789,3.0984190965337146
,,Vaupes,Colombia,2021-02-08 05:22:39,0.8554,-70.812,1152,13,1135,4,Vaupes, Colombia,2823.7370394881978,1.1284722222222223
,,Vichada,Colombia,2021-02-08 05:22:39,4.4234,-69.2878,1313,21,1263,29,Vichada, Colombia,1217.9059067972694,1.5993907083015995
,,Sin especificar,Costa Rica,2021-02-08 05:22:39,9.7489,-83.7534,196438,2672,156181,37585,Costa Rica,3856.1759709342973,1.3602256182612324
,,Sin especificar,Ecuador,2021-02-08 05:22:39,-1.8312,-78.1834,258282,15012,220398,22872,Ecuador,1463.9297264760196,5.812251724858875
,,Sin especificar,El Salvador,2021-02-08 05:22:39,13.7942,-88.8965,56237,1681,50431,4125,El Salvador,867.0252432818531,2.98913526681722
,,Sin especificar,Guatemala,2021-02-08 05:22:39,15.7835,-90.2308,163137,5884,149342,7911,Guatemala,910.5879819488828,3.606784481754599
,,Sin especificar,Haiti,2021-02-08 05:22:39,18.9712,-72.2852,11806,246,9156,2404,Haiti,103.53839800332085,2.083686261223107
,,Sin especificar,Honduras,2021-02-08 05:22:39,15.2,-86.2419,154568,3721,61817,89030,Honduras,1560.566556495724,2.4073546917861393
,,Aguascalientes,Mexico,2021-02-08 05:22:39,21.8853,-102.2916,21536,1805,0,19731,Aguascalientes, Mexico,1501.1483757192595,8.381315007429421
,,Baja California,Mexico,2021-02-08 05:22:39,30.8406,-115.2838,43062,6983,0,36079,Baja California, Mexico,1184.6922639281536,16.21615345316056
,,Baja California Sur,Mexico,2021-02-08 05:22:39,26.0444,-111.6661,24456,1027,0,23429,Baja California Sur, Mexico,3039.114809346993,4.199378475629702
,,Campeche,Mexico,2021-02-08 05:22:39,19.8301,-90.5349,8097,1020,0,7077,Campeche, Mexico,809.2007231538141,12.597258243793998
,,Chiapas,Mexico,2021-02-08 05:22:39,16.7569,-93.1292,9602,1376,0,8226,Chiapas, Mexico,167.56343878149514,14.330347844199125
,,Chihuahua,Mexico,2021-02-08 05:22:39,28.633000000000006,-106.0691,41382,4981,0,36401,Chihuahua, Mexico,1088.5740237964776,12.036634285438113
,,Ciudad de Mexico,Mexico,2021-02-08 05:22:39,19.4326,-99.1332,502482,23786,0,478696,Ciudad de Mexico, Mexico,5571.590854280216,4.733701903749786
,,Coahuila,Mexico,2021-02-08 05:22:39,27.0587,-101.7068,61765,5383,0,56382,Coahuila, Mexico,1918.9305065367603,8.715291831943658
,,Colima,Mexico,2021-02-08 05:22:39,19.1223,-104.0072,9780,972,0,8808,Colima, Mexico,1245.617096285692,9.938650306748466
,,Durango,Mexico,2021-02-08 05:22:39,24.5593,-104.6588,29463,1932,0,27531,Durango, Mexico,1576.4078681816336,6.557377049180328
,,Guanajuato,Mexico,2021-02-08 05:22:39,21.019,-101.2574,111088,7878,0,103210,Guanajuato, Mexico,1783.6364585131278,7.09167506841423
,,Guerrero,Mexico,2021-02-08 05:22:39,17.4392,-99.5451,32656,3219,0,29437,Guerrero, Mexico,892.960661167149,9.857300342969133
,,Hidalgo,Mexico,2021-02-08 05:22:39,20.0911,-98.7624,32725,4905,0,27820,Hidalgo, Mexico,1060.291976384244,14.988540870893813
,,Jalisco,Mexico,2021-02-08 05:22:39,20.6595,-103.3494,72392,9133,0,63259,Jalisco, Mexico,860.8162033976746,12.616034920985744
,,Mexico,Mexico,2021-02-08 05:22:39,19.4969,-99.7233,199135,25616,0,173519,Mexico, Mexico,1142.6290998457062,12.863635222336606
,,Michoacan,Mexico,2021-02-08 05:22:39,19.5665,-101.7068,41302,3894,0,37408,Michoacan, Mexico,855.9288647720675,9.428114861265799
,,Morelos,Mexico,2021-02-08 05:22:39,18.6813,-99.1013,22991,1961,0,21030,Morelos, Mexico,1124.7723890417983,8.529424557435519
,,Nayarit,Mexico,2021-02-08 05:22:39,21.7514,-104.8455,10259,1432,0,8827,Nayarit, Mexico,796.1532581440991,13.958475484940053
,,Nuevo Leon,Mexico,2021-02-08 05:22:39,25.5922,-99.9962,109877,7091,0,102786,Nuevo Leon, Mexico,1958.5383856732608,6.453579912083511
